# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mean_sd_model
# start_datetime = 2024-02-24 12:01:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = mean_sd_data.json
# init = 2 (Default)
# random
#   seed = 3794250660 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mean_x,mean_y,sigma_x,sigma_y
# Adaptation terminated
# Step size = 0.362684
# Diagonal elements of inverse mass matrix:
# 0.207654, 0.16358, 0.207514, 0.240474
-0.477147,0.938763,0.362684,3,7,0,1.29676,2.07756,3.76222,0.545717,0.496307
0.742199,0.863759,0.362684,3,7,0,2.40087,2.14998,4.14393,0.425005,0.634045
0.862761,0.997964,0.362684,3,7,0,-0.287199,2.06438,4.36845,0.704421,0.555478
0.535369,0.972923,0.362684,3,7,0,0.258871,2.27631,4.43953,0.650793,0.573593
0.195603,0.96678,0.362684,3,7,0,0.62636,1.66772,4.18198,0.624685,0.404888
0.24983,0.961552,0.362684,3,7,0,1.32801,2.33952,4.2192,0.445271,0.345477
0.265614,0.938981,0.362684,3,7,0,1.09768,1.74023,4.12173,0.528162,0.462844
0.746579,0.992088,0.362684,3,7,0,0.572245,2.06843,4.26253,0.743658,0.342202
-0.041574,0.970861,0.362684,3,7,0,0.434913,2.46067,4.06432,0.774493,0.661867
-0.31162,0.960941,0.362684,3,7,0,2.02226,1.94552,3.76961,0.6522,0.711654
-0.984081,0.990006,0.362684,3,7,0,1.85108,2.1221,3.76347,0.529934,1.15225
-1.24719,0.788102,0.362684,3,7,0,9.27087,1.59831,4.57818,0.805101,0.624752
0.828167,0.992429,0.362684,3,7,0,1.77571,2.18991,4.17607,0.592185,0.688861
0.416664,0.945426,0.362684,3,7,0,0.411514,1.83083,4.17406,0.579835,0.323978
0.718951,0.993319,0.362684,2,3,0,-0.0890277,1.80159,4.21455,0.63198,0.373769
0.895718,0.783908,0.362684,1,3,0,2.05257,2.05524,4.03064,0.723264,0.480348
0.559369,0.974725,0.362684,3,7,0,0.445428,1.80466,4.296,0.796063,0.423874
1.09642,0.985821,0.362684,2,7,0,-0.30122,1.99286,4.30207,0.664305,0.406188
0.475194,0.980769,0.362684,2,7,0,-0.0647361,2.28446,4.29138,0.474058,0.664259
0.0488286,0.918363,0.362684,3,7,0,0.613281,1.6777,4.06298,0.837424,0.431838
0.174461,1,0.362684,3,7,0,0.374542,1.87969,4.34524,0.967652,0.473461
0.190396,0.97078,0.362684,2,7,0,3.74216,1.82437,4.38282,0.687223,0.674575
-1.25154,0.957479,0.362684,3,7,0,1.67131,2.27179,3.84546,1.14849,0.520294
-2.1781,0.983306,0.362684,2,7,0,3.79788,2.23016,4.2374,1.93543,0.606401
-0.824651,0.995366,0.362684,3,7,0,2.87504,2.69751,4.23791,1.03332,0.611793
-2.31687,0.96071,0.362684,3,7,0,2.9842,2.33047,4.02772,1.98207,0.464103
-0.530735,0.999682,0.362684,3,7,0,2.86641,2.43996,4.3848,1.12435,0.510741
0.457205,0.988543,0.362684,3,7,0,1.09731,1.97347,4.01226,0.736019,0.387288
-0.0283632,0.893144,0.362684,3,7,0,3.31212,2.48493,4.1321,0.825773,0.637468
-0.127633,0.966251,0.362684,2,7,0,1.92978,2.52289,4.13088,1.02513,0.491459
0.335643,0.980009,0.362684,3,7,0,1.31476,1.69661,4.10789,0.765711,0.46109
-1.09389,0.908139,0.362684,3,7,0,1.98064,2.84996,4.12736,1.1029,0.492095
-0.178163,0.978224,0.362684,2,7,0,2.16823,2.54994,4.12935,0.797727,0.346475
-0.516952,0.88256,0.362684,3,7,0,1.79505,2.10515,4.38594,1.2011,0.519528
-0.882273,0.998607,0.362684,3,7,0,1.63482,1.72808,4.40631,1.17713,0.601832
-0.371276,0.976193,0.362684,2,7,0,2.59301,2.15804,4.26726,0.852353,0.874
-0.418635,0.976043,0.362684,2,7,0,2.21309,1.94192,4.21538,0.688647,0.984035
-0.0512916,0.986534,0.362684,3,7,0,2.21812,2.2779,4.28085,0.469918,0.825356
-2.23481,0.920005,0.362684,3,7,0,2.8546,1.74443,4.61979,0.932394,1.17391
-0.517742,0.999903,0.362684,2,7,0,4.08233,1.67758,4.49811,0.720924,0.547167
-2.75535,0.980908,0.362684,3,7,0,6.05468,2.14464,3.85447,0.277709,0.54518
0.231604,0.779901,0.362684,3,7,0,4.87473,1.88493,3.96433,0.566379,0.400979
-0.347712,0.925805,0.362684,3,7,0,2.10493,2.11066,3.97597,0.338605,0.504772
0.538194,0.922765,0.362684,3,7,0,1.8322,2.25398,3.93808,0.645971,0.516194
0.920705,0.864899,0.362684,1,3,0,2.36819,2.04714,4.04718,0.528295,0.374853
0.541506,0.96155,0.362684,3,7,0,0.00690554,2.03861,4.46102,0.565827,0.675972
-0.474007,0.95487,0.362684,3,7,0,1.44562,2.32881,4.11626,1.23386,0.541699
0.0223955,0.965976,0.362684,3,7,0,1.73579,2.54419,4.08179,0.697426,0.538993
-3.82534,0.7467,0.362684,3,15,0,5.14253,0.839193,4.545,1.61328,0.533488
-3.70364,0.998401,0.362684,3,7,0,5.58316,1.23776,3.88721,2.17136,0.653582
-2.05091,0.956608,0.362684,3,15,0,5.99688,1.67904,3.70937,0.997905,0.923559
-2.69772,0.932221,0.362684,3,7,0,5.67817,1.61237,4.36636,2.08675,0.571766
-2.90265,0.948056,0.362684,3,15,0,4.05658,1.89852,4.02654,2.09896,0.684397
-2.79139,0.993415,0.362684,3,7,0,3.75894,1.915,3.89911,1.82142,0.742645
-1.40226,0.981189,0.362684,2,7,0,4.37468,1.8102,3.95685,1.32119,0.680646
-1.6889,0.931622,0.362684,3,7,0,5.36373,1.98161,4.35532,0.295385,0.564852
0.996064,1,0.362684,2,3,0,1.81182,2.13511,4.13704,0.442167,0.58522
1.1232,0.942085,0.362684,3,7,0,0.248811,2.26571,4.20031,0.678422,0.503848
-1.76286,0.852388,0.362684,2,3,0,1.88904,2.46841,4.51459,0.626513,0.349918
-4.14667,0.488645,0.362684,4,15,0,5.62947,1.7088,3.76749,0.737636,2.16735
-3.41921,0.994253,0.362684,3,7,0,6.05251,1.73876,3.75876,0.954182,1.6667
-3.11955,0.966984,0.362684,2,7,0,7.95824,1.76777,4.08363,0.674243,1.82074
0.619844,0.963945,0.362684,3,7,0,4.2414,2.19314,4.12731,0.754483,0.337941
-0.111571,0.633389,0.362684,2,3,0,2.4313,1.83982,3.97343,0.801022,0.394715
-1.43446,0.562539,0.362684,4,15,0,4.49518,2.39315,4.69809,0.478318,0.72118
-0.391708,1,0.362684,3,7,0,1.98233,2.06473,4.51593,0.825688,0.790209
0.0692311,0.990939,0.362684,3,7,0,1.15241,2.47891,4.32077,0.58526,0.581772
0.642849,0.999263,0.362684,3,7,0,0.138905,1.81965,4.17523,0.504617,0.504628
0.332323,0.978119,0.362684,3,7,0,0.278917,2.3306,4.20615,0.781156,0.323351
0.730056,0.997033,0.362684,3,7,0,0.564757,1.90896,4.15264,0.598161,0.656525
0.168315,0.910925,0.362684,3,7,0,2.55939,1.86856,4.20003,0.876913,0.327678
-1.6075,0.797462,0.362684,3,7,0,4.06476,2.76341,4.1982,0.837336,0.794543
-1.64764,0.990538,0.362684,3,7,0,3.59823,2.0531,3.57282,0.727595,0.626426
-2.8006,0.965052,0.362684,3,7,0,5.82704,1.50314,4.29489,1.29784,1.07629
-1.88707,0.983158,0.362684,2,7,0,5.874,2.26858,3.47211,0.599074,0.740022
-2.1058,0.916528,0.362684,3,7,0,5.11064,2.02344,4.74343,0.944933,0.536431
-1.47346,0.931542,0.362684,3,7,0,4.40654,1.9791,3.93989,0.439098,1.26547
-0.280654,0.982653,0.362684,3,7,0,2.26405,2.0657,3.7276,0.588068,0.656617
-0.612444,0.922838,0.362684,3,7,0,3.00353,2.31304,4.51338,0.790767,0.41264
-0.7579,0.965622,0.362684,2,3,0,2.67555,1.81691,3.97261,0.710421,0.330319
-0.810425,0.945219,0.362684,3,7,0,4.29814,2.01087,3.78183,0.616935,0.443977
0.224456,1,0.362684,3,7,0,1.82861,1.65771,4.18585,0.651854,0.474813
-1.02278,0.954594,0.362684,2,7,0,1.76739,1.82807,4.38956,1.35376,0.480272
-3.3905,0.902035,0.362684,3,7,0,4.95641,1.95386,4.24315,1.87931,0.999007
-2.21914,0.994651,0.362684,3,7,0,4.63255,2.075,4.68107,1.15502,0.520871
-1.17813,1,0.362684,3,7,0,2.59778,2.42514,3.69175,0.661043,0.675126
-0.95299,0.91241,0.362684,3,7,0,3.20244,1.48413,4.0365,0.802352,0.617435
0.545161,0.98637,0.362684,3,7,0,1.87075,2.31013,4.26441,0.805672,0.589758
-0.0411524,0.964971,0.362684,3,7,0,1.44613,2.43637,4.04229,0.537619,0.378428
-0.122974,0.97818,0.362684,3,7,0,0.951787,1.67849,4.30715,0.712362,0.645683
1.1643,0.988866,0.362684,3,7,0,1.32705,2.08218,4.03098,0.570198,0.485399
-0.168418,0.910475,0.362684,3,7,0,1.52161,1.67616,4.16695,1.07887,0.422418
-0.914632,0.936163,0.362684,2,7,0,2.55519,2.52243,4.04022,0.992688,0.760687
-1.53003,0.993437,0.362684,3,7,0,1.76512,2.46411,3.82976,1.14324,0.712542
-2.94743,0.981218,0.362684,3,15,0,3.66835,2.37736,3.86541,1.02352,1.47648
-2.69774,1,0.362684,2,3,0,3.02278,2.34877,3.92058,1.02189,1.40713
-2.85032,0.980978,0.362684,4,15,0,6.03646,3.06432,4.07543,1.31217,0.311025
-4.40215,0.856602,0.362684,3,7,0,7.34535,0.811906,4.28898,1.10426,0.852752
1.26144,0.936064,0.362684,3,7,0,7.76862,2.22364,4.19843,0.578198,0.529572
1.06307,0.957231,0.362684,1,3,0,0.0833644,2.07615,4.25096,0.481607,0.615041
0.176649,0.739804,0.362684,3,7,0,2.25623,1.65584,4.23131,0.715249,0.384871
-2.45586,0.805481,0.362684,2,3,0,3.44454,1.30875,4.18722,0.637733,0.411778
-1.91931,0.997369,0.362684,3,7,0,5.06091,2.98386,4.1853,0.919846,0.595715
-5.1266,0.836209,0.362684,3,15,0,7.03299,0.541486,4.27549,1.13566,0.337035
-0.883966,0.987342,0.362684,3,15,0,6.23665,1.53756,4.10691,1.22511,0.395738
0.938963,0.99385,0.362684,3,7,0,1.335,1.87146,4.2274,0.721157,0.407251
0.838091,0.891015,0.362684,2,3,0,0.29476,2.05137,4.34199,0.777158,0.478989
0.473297,0.969553,0.362684,3,7,0,0.539816,2.38975,4.05938,0.521739,0.496157
-0.702214,0.735765,0.362684,2,3,0,2.5028,2.09005,4.02808,0.313727,0.470494
0.159961,0.719354,0.362684,3,7,0,4.09986,1.85195,4.36565,0.839731,0.388397
0.874226,0.916877,0.362684,2,7,0,2.82992,2.09981,4.27195,0.764858,0.570215
